Taxa	CID_138274	CID_138390	CID_139369	CID_139445
Acidaminococcaceae	2011	1919	0	0
Actinomycetaceae	0	0	1253	1310
Akkermansiaceae	3869	4241	17266	24130
Bacteroidaceae	11455	13432	51532	9903
Bifidobacteriaceae	48358	42801	151507	114990
Clostridiaceae	13542	16602	25100	25241
Coprobacillaceae	0	0	2511	2707
Coriobacteriaceae	11883	8642	8512	6953
Desulfovibrionaceae	2193	2274	2147	1841
Eggerthellaceae	15675	12086	13941	10188
Erysipelotrichaceae	11157	9354	6563	6903
Eubacteriaceae	5067	1023	2803	4198
Lachnospiraceae	71270	70506	65677	74020
Methanobacteriaceae	0	0	13008	9887
Odoribacteraceae	1142	1184	0	917
Oscillospiraceae	101843	109556	120237	114643
Peptostreptococcaceae	1799	2274	1615	2553
Prevotellaceae	13786	11846	9581	11306
Rikenellaceae	32006	35989	9179	11694
Streptococcaceae	3361	4574	1855	2573
Succinivibrionaceae	0	0	2169	2980
Sutterellaceae	1029	1494	0	0
Tannerellaceae	5048	4831	5726	6516
Veillonellaceae	4074	3899	5754	5473
