Taxa	BC_138274	BC_138390	BC_139369	BC_139445
Adlercreutzia	3497	2659	3120	2485
Akkermansia	3869	4240	30605	40455
Alistipes	31892	35901	37500	40512
Anaerobutyricum	2004	2062	2453	2829
Anaerostipes	4331	4870	5976	7860
Bacteroides	103418	104327	51054	57950
Bifidobacterium	46244	41011	143730	109899
Bilophila	1625	1744	0	0
Blautia	48251	48442	47777	53910
Butyricicoccus	1695	1829	2552	2825
Butyrivibrio	0	0	2005	1441
Catenibacterium	0	0	1543	1685
Clostridium	25352	31042	38422	39695
Collinsella	38719	26807	27525	19558
Coprobacillus	0	0	968	1022
Coprococcus	15073	16504	23119	23066
Desulfovibrio	0	0	1577	1317
Dialister	3569	3449	4933	4701
Dorea	12896	10734	11327	11418
Eggerthella	5323	4438	1722	1325
Enterocloster	1055	1415	0	0
Eubacterium	4916	4551	6853	7366
Faecalibacterium	80585	89987	50791	55941
Flavonifractor	927	1174	0	0
Fusicatenibacter	1479	1765	1227	1526
Gemmiger	3763	3501	5642	6313
Gordonibacter	1077	0	2928	2112
Holdemanella	4565	3702	1167	1436
Lachnospira	1929	2180	0	1139
Mediterraneibacter	4235	4209	2633	2683
Methanobrevibacter	0	0	11962	9165
Oscillibacter	1896	2231	1807	1632
Parabacteroides	4993	4783	5660	6448
Paraprevotella	1057	953	0	0
Phascolarctobacterium	1903	1829	0	0
Phocaeicola	8409	9514	2706	3429
Prevotella	12383	10645	9023	10832
Romboutsia	1005	1290	0	1285
Roseburia	15375	16484	20100	20143
Ruminococcus	45966	51497	86679	79121
Streptococcus	3275	4404	1731	2414
Subdoligranulum	11160	9033	20789	18329
Sutterella	0	1088	0	0
